Position,StrawLength(in),Base_x,Base_y,Top_x(pixels),Top_y(pixels)
2,47.19940311,9.0875,1.1554,377,598
6,46.56202669,9.5815,1.4767,393,587
10,45.89486185,10.0755,1.8166,408,577
14,45.19657972,10.5695,2.1784,425,563
18,44.46571083,11.0635,2.4972,441,555
22,43.70061374,11.5575,2.9029,457,540
26,42.89944374,12.0515,3.2817,473,528
30,42.06012165,12.5455,3.6844,488,515
34,41.18031823,13.0395,4.1092,505,501
38,40.25734457,13.642,4.5766,525,486
42,39.28814961,14.136,5.0676,541,470
46,38.2692126,14.63,5.5621,557,454
50,37.19641732,15.124,6.0779,574,437
54,36.06488189,15.618,6.6398,591,419
58,34.86893701,16.112,7.2384,606,399
62,33.60161417,16.606,7.8586,623,379
66,32.25440945,17.1,8.5256,639,357
70,30.81681102,17.594,9.2462,655,333
74,29.27543307,18.088,10.0088,670,308
78,27.61267717,18.582,10.8314,686,283
82,25.80492126,19.076,11.7221,703,254
86,23.81889764,19.57,12.6993,719,222
90,21.60492126,20.064,13.7887,735,186
94,20.09905512,20.558,14.5467,751,161